timestamp,open,high,low,close
2024-09-30 23:00:00,99.245,99.389,99.243,99.333
2024-09-30 22:00:00,99.263,99.321,99.15,99.254
2024-09-30 21:00:00,99.378,99.382,99.251,99.274
2024-09-30 20:00:00,99.41,99.422,99.316,99.379
2024-09-30 19:00:00,99.245,99.439,99.208,99.409
2024-09-30 18:00:00,99.299,99.31,99.161,99.246
2024-09-30 17:00:00,99.304,99.344,99.219,99.306
2024-09-30 16:00:00,99.22,99.389,99.178,99.303
2024-09-30 15:00:00,99.223,99.279,98.925,99.219
2024-09-30 14:00:00,99.031,99.275,98.913,99.231
2024-09-30 13:00:00,98.693,99.04,98.683,99.026
2024-09-30 12:00:00,98.63,98.725,98.526,98.687
2024-09-30 11:00:00,98.664,98.817,98.615,98.63
2024-09-30 10:00:00,98.72,98.751,98.62,98.664
2024-09-30 09:00:00,98.66,98.743,98.54,98.715
2024-09-30 08:00:00,98.492,98.734,98.407,98.663
2024-09-30 07:00:00,98.209,98.526,98.084,98.488
2024-09-30 06:00:00,98.516,98.642,98.17,98.208
2024-09-30 05:00:00,98.708,98.809,98.48,98.516
2024-09-30 04:00:00,98.658,98.726,98.532,98.706
2024-09-30 03:00:00,98.619,98.679,98.39,98.661
2024-09-30 02:00:00,98.773,98.904,98.539,98.619
2024-09-30 01:00:00,98.79,98.876,98.594,98.772
2024-09-30 00:00:00,98.656,98.909,98.583,98.791
2024-09-29 23:00:00,98.184,98.69,98.184,98.655
2024-09-27 21:00:00,98.166,98.236,98.033,98.153
2024-09-27 20:00:00,98.276,98.323,98.117,98.169
2024-09-27 19:00:00,98.315,98.364,98.022,98.277
2024-09-27 18:00:00,98.467,98.542,98.207,98.316
2024-09-27 17:00:00,98.549,98.608,98.354,98.467
2024-09-27 16:00:00,99.017,99.047,98.54,98.548
2024-09-27 15:00:00,98.696,99.166,98.565,99.016
2024-09-27 14:00:00,98.699,98.989,98.633,98.689
2024-09-27 13:00:00,98.66,98.907,98.5,98.7
2024-09-27 12:00:00,98.569,98.767,98.565,98.663
2024-09-27 11:00:00,98.581,98.721,98.52,98.565
2024-09-27 10:00:00,98.559,98.815,98.53,98.577
2024-09-27 09:00:00,98.54,99.0,98.429,98.565
2024-09-27 08:00:00,98.562,98.758,98.259,98.541
2024-09-27 07:00:00,100.576,100.633,98.506,98.56
2024-09-27 06:00:00,100.269,100.721,100.266,100.576
2024-09-27 05:00:00,99.928,100.289,99.915,100.275
2024-09-27 04:00:00,99.783,99.937,99.682,99.929
2024-09-27 03:00:00,99.966,100.001,99.661,99.776
2024-09-27 02:00:00,100.179,100.248,99.861,99.974
2024-09-27 01:00:00,99.997,100.264,99.822,100.179
2024-09-27 00:00:00,99.928,100.112,99.928,99.996
2024-09-26 23:00:00,99.758,99.968,99.737,99.93
2024-09-26 22:00:00,99.832,99.834,99.609,99.766
2024-09-26 21:00:00,99.745,99.9,99.739,99.845
